mission_id;timestamp;lat;lon;alt_km;signal_strength
BETA-02;2026-03-28 14:50:00;34.1500;-118.3400;408.1;20%
GAMMA-03;2026-03-28 14:51:00;12.8500;45.4500;418.0;86%
DELTA-04;2026-03-28 14:52:00;0.0008;0.0008;0.8;91%
ALPHA-01;2026-03-28 14:53:00;-23.7500;-46.8300;410.8;40%
ALPHA-01;2026-03-28 14:54:00;-23.7600;-46.8400;411.0;38%
BETA-02;2026-03-28 14:55:00;34.1600;-118.3500;408.3;15%
GAMMA-03;2026-03-28 14:56:00;12.9000;45.5000;419.0;85%
DELTA-04;2026-03-28 14:57:00;0.0009;0.0009;0.9;90%
ALPHA-01;2026-03-28 14:58:00;-23.7700;-46.8500;411.2;35%
ALPHA-01;2026-03-28 14:59:00;-23.7800;-46.8600;411.5;33%
BETA-02;2026-03-28 15:00:00;34.1700;-118.3600;408.5;10%
GAMMA-03;2026-03-28 15:01:00;12.9500;45.5500;420.0;84%
DELTA-04;2026-03-28 15:02:00;0.0010;0.0010;1.0;89%
ALPHA-01;2026-03-28 15:03:00;-23.7900;-46.8700;411.8;30%
ALPHA-01;2026-03-28 15:04:00;-23.8000;-46.8800;412.0;28%
BETA-02;2026-03-28 15:05:00;34.1800;-118.3700;408.7;5%
GAMMA-03;2026-03-28 15:06:00;13.0000;45.6000;421.0;83%
DELTA-04;2026-03-28 15:07:00;0.0011;0.0011;1.1;88%
ALPHA-01;2026-03-28 15:08:00;-23.8100;-46.8900;412.2;25%
ALPHA-01;2026-03-28 15:09:00;-23.8200;-46.9000;412.5;23%
BETA-02;2026-03-28 15:10:00;34.1900;-118.3800;408.9;LOST
GAMMA-03;2026-03-28 15:11:00;13.0500;45.6500;422.0;82%
DELTA-04;2026-03-28 15:12:00;0.0012;0.0012;1.2;87%
ALPHA-01;2026-03-28 15:13:00;-23.8300;-46.9100;412.8;20%
ALPHA-01;2026-03-28 15:14:00;-23.8400;-46.9200;413.0;18%
BETA-02;2026-03-28 15:15:00; ; ;-99.0;0%
GAMMA-03;2026-03-28 15:16:00;13.1000;45.7000;423.0;81%
DELTA-04;2026-03-28 15:17:00;0.0013;0.0013;1.3;86%
ALPHA-01;2026-03-28 15:18:00;-23.8500;-46.9300;413.2;15%
ALPHA-01;2026-03-28 15:19:00;-23.8600;-46.9400;413.5;13%
GAMMA-03;2026-03-28 15:21:00;13.1500;45.7500;424.0;80%
DELTA-04;2026-03-28 15:22:00;0.0014;0.0014;1.4;85%
ALPHA-01;2026-03-28 15:23:00;-23.8700;-46.9500;413.8;10%
ALPHA-01;2026-03-28 15:24:00;-23.8800;-46.9600;414.0;8%
GAMMA-03;2026-03-28 15:26:00;13.2000;45.8000;425.0;79%
DELTA-04;2026-03-28 15:27:00;0.0015;0.0015;1.5;84%
ALPHA-01;2026-03-28 15:28:00;-23.8900;-46.9700;414.2;5%
ALPHA-01;2026-03-28 15:29:00;-23.9000;-46.9800;414.5;3%
GAMMA-03;2026-03-28 15:31:00;13.2500;45.8500;426.0;78%
DELTA-04;2026-03-28 15:32:00;0.0016;0.0016;1.6;83%
ALPHA-01;2026-03-28 15:33:00;-23.9100;-46.9900;414.8;1%
ALPHA-01;2026-03-28 15:34:00;-23.9200;-47.0000;415.0;0%
GAMMA-03;2026-03-28 15:36:00;13.3000;45.9000;427.0;77%
DELTA-04;2026-03-28 15:37:00;0.0017;0.0017;1.7;82%
ALPHA-01;2026-03-28 15:38:00;-23.9300;-47.0100;415.2;NULL
GAMMA-03;2026-03-28 15:41:00;13.3500;45.9500;428.0;76%
DELTA-04;2026-03-28 15:42:00;0.0018;0.0018;1.8;81%
GAMMA-03;2026-03-28 15:46:00;13.4000;46.0000;429.0;75%
DELTA-04;2026-03-28 15:47:00;0.0019;0.0019;1.9;80%
GAMMA-03;2026-03-28 15:51:00;13.4500;46.0500;430.0;74%
DELTA-04;2026-03-28 15:52:00;0.0020;0.0020;2.0;79%
GAMMA-03;2026-03-28 15:56:00;13.5000;46.1000;431.0;73%
DELTA-04;2026-03-28 15:57:00;0.0021;0.0021;2.1;78%
GAMMA-03;2026-03-28 16:00:00;13.5500;46.1500;432.0;72%
